spatial_smoothing/fwhm/12;spatial_smoothing/tool/spm;slice_timing_correction/ref_slice/middle;signal_modeling/hrf/temporal_dispersion_derivs;spatial_normalization/bias_fwhm/130;spatial_normalization/template;signal_modeling/hrf;signal_modeling/nuisance_regressors/motion/18;spatial_smoothing/fwhm/2;coregistration/cost_function/mutual_information;coregistration;signal_modeling/nuisance_regressors/comp_cor;signal_modelling/temporal_noise_autocorrelation/FAST;coregistration/tool;spatial_normalization/algorithm/DARTEL;spatial_normalization/interpolation/bspline;spatial_normalization/bias_regularisation;spatial_normalization/template/MNI152_linear;coregistration/cost_function;coregistration/source_target;spatial_normalization/bias_regularisation/extremely_light;signal_modeling/nuisance_regressors/motion/24;coregistration/tool/spm;spatial_normalization/bias_fwhm/40;spatial_normalization/bias_fwhm/30;spatial_normalization/template/Ixi549Space;spatial_smoothing/fwhm/4;motion_correction_realignment/register_to/mean;spatial_normalization/bias_fwhm/150;segmentation;spatial_normalization/tool;spatial_normalization/algorithm/linear;spatial_normalization/bias_regularisation/medium;distorsion_correction;spatial_smoothing/fwhm/6;spatial_normalization/bias_fwhm/100;motion_correction_realignment/register_to/first;spatial_normalization/interpolation/trilinear;slice_timing_correction;slice_timing_correction/tool;spatial_normalization/bias_regularisation/heavy;spatial_normalization/bias_regularisation/light;spatial_normalization/interpolation;spatial_normalization/bias_fwhm/70;spatial_normalization/bias_fwhm/60;signal_modeling/nuisance_regressors/motion;spatial_normalization/template/MNI152_nonlinear;spatial_smoothing/tool;coregistration/cost_function/entropy_correlation_coefficient;signal_modeling/tool/SPM;motion_correction_realignment;signal_modeling/hrf/temporal_derivs;signal_modeling/nuisance_regressors;signal_modeling/tool;spatial_normalization/tool/spm;signal_modelling/temporal_noise_autocorrelation/AR1;signal_modelling/temporal_noise_autocorrelation;coregistration/cost_function/normalised_mutual_information;slice_timing_correction/ref_slice;coregistration/cost_function/normalised_cross_correlation;spatial_normalization/bias_fwhm/90;preprocessing;spatial_smoothing/fwhm;coregistration/source_target/func_on_anat;spatial_normalization/algorithm/nonlinear;spatial_normalization/template/MNI305;spatial_normalization/bias_fwhm/120;motion_correction_realignment/tool/spm;spatial_normalization/algorithm;motion_correction_realignment/tool;motion_correction_realignment/register_to;slice_timing_correction/tool/spm;spatial_normalization;spatial_smoothing/fwhm/14;spatial_smoothing;spatial_normalization/bias_fwhm/80;spatial_smoothing/fwhm/10;spatial_normalization/bias_fwhm;spatial_normalization/bias_regularisation/very_light;pipeline;coregistration/source_target/anat_on_func;signal_modeling/nuisance_regressors/motion/6;spatial_normalization/bias_fwhm/110;spatial_normalization/bias_fwhm/140;signal_modeling;slice_timing_correction/ref_slice/first;spatial_smoothing/fwhm/8;spatial_normalization/interpolation/nearest_neighbour;first_level;signal_modeling/hrf/canonical
False;True;False;False;False;True;True;False;True;True;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;True;True;True;False;True;True;False;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False
False;True;True;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;True;True;True;True;True;True;True;True;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;True;False;True;True;True;False
False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;True;True;True;True;False;True;True;True;True;False;False;False;False;True;False;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;True;True;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;True;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;False;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;True;False;False;True;True;False
False;True;True;False;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;True;False;True;True
False;True;True;False;False;True;True;True;False;False;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;True;False;False;True;False;False;False;False;True;False;False;False;True;True
True;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;True;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;False;True;True;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;True;True;True
False;True;False;False;False;True;True;False;True;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;True;False;True;True;False;True;False;True;True;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;True;True;False
False;True;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;True;False;False;True;False;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;True;True;False
False;True;False;False;False;True;True;False;True;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;True
False;True;True;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;True;False;False;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;True;False;True;True;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;True;True;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;True;True;False;True;True;False;False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;False;True;True;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False
True;True;True;False;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;True;False;True;True;True;True;False;True;True;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False
False;True;False;False;False;True;True;False;False;True;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;True;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True
False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;True;False;True;False;False;False;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;True;True;False;False;True;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False
False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;True;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;True;False
False;True;True;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;False;True;False;True;False;False;True;False;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;True;True;True
False;True;False;False;False;True;True;True;False;True;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;True;False;True;True;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True
False;True;False;True;False;True;True;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;False;False;False;True;True;False;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;True;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;True;False;True;True;True
False;True;True;True;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;True;False;True;True;False;True;False;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False
False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;False;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;True;False;True;True
False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;True;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;True;True;True;True
False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;False;True;True;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;True;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;False;True;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;True;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;True;True;False;False;False;False;True;True;True;False;False;True;False;False;False;True;False
False;True;False;True;False;True;True;False;False;False;True;False;False;True;False;True;False;False;True;True;False;True;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;False;True;True;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False
False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;True;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;True;True;False;False;True;False;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;True;False;True;True;True
False;True;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;True;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;True;True;True;True;False
False;True;True;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;False;False;True;False;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False
False;True;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;True;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;False;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;True;True;False
True;True;False;False;False;True;True;True;False;True;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True
False;True;True;True;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;False;True;False;True;True;False;False;True;True;False;True;True;False;False;False;False;True;True;False;True;True;False;False;True;False;True;False;True;True;False;False;True;True;False;False;False;False;False;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;True;True;False
False;True;True;False;False;True;True;False;False;False;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;False;True;True;True;False;False;True;False;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;True;False;False;False;True;False
False;True;True;True;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;True;True;False;False;True;True;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;True;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False
False;True;True;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;True;True;True;True;True;True;True;True;True;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False
False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;True;True;False;True;True;False;False;True;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;False;True;False;False;True;False;False;False;True;True
False;True;False;False;False;True;True;True;False;True;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;True;False;False;False;False;False;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False
True;True;True;False;False;True;True;False;False;True;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;True
False;True;False;False;False;True;True;True;False;True;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;True;True;True;False;False;True;False;False;True;False;True;False;True;True;True;True;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;True;False;False;True;True;False;False;False;True;True;False;False;True;False
