segmentation/tool/spm;spatial_smoothing/fwhm/4;spatial_normalization/bias_fwhm/80;slice_timing_correction/ref_slice/middle;spatial_smoothing/fwhm/6;distorsion_correction;signal_modeling/temporal_noise_autocorrelation/FAST;spatial_normalization/bias_fwhm/150;coregistration/tool;segmentation;slice_timing_correction;motion_correction_realignment/tool;signal_modeling/temporal_noise_autocorrelation/AR1;spatial_normalization/algorithm/linear;spatial_normalization/interpolation;motion_correction_realignment/tool/spm;spatial_normalization/tool;motion_correction_realignment/register_to/mean;signal_modeling/tool/spm;coregistration/cost_function;signal_modeling/hrf/temporal_derivs;spatial_normalization/algorithm/DARTEL;signal_modeling/hrf/canonical;signal_modeling/nuisance_regressors;spatial_smoothing/tool/spm;spatial_normalization/bias_regularisation/extremely_light;spatial_smoothing/fwhm/10;motion_correction_realignment/register_to/first;spatial_normalization/bias_regularisation;spatial_normalization/bias_fwhm/140;spatial_normalization/bias_fwhm/40;spatial_normalization/algorithm/nonlinear;segmentation/tool;coregistration;spatial_normalization/tool/spm;spatial_normalization/template/MNI152_nonlinear;spatial_normalization/bias_fwhm/60;signal_modeling/temporal_noise_autocorrelation;signal_modeling/nuisance_regressors/motion/18;spatial_normalization;spatial_smoothing/fwhm/14;coregistration/source_target/func_on_anat;spatial_normalization/bias_regularisation/light;coregistration/cost_function/entropy_correlation_coefficient;coregistration/cost_function/normalised_mutual_information;signal_modeling/nuisance_regressors/motion/24;motion_correction_realignment/register_to;slice_timing_correction/tool;spatial_normalization/bias_fwhm/90;coregistration/cost_function/mutual_information;spatial_normalization/bias_fwhm/110;signal_modeling/hrf/temporal_dispersion_derivs;spatial_normalization/template/Ixi549Space;spatial_normalization/bias_regularisation/very_light;spatial_normalization/template;spatial_smoothing;coregistration/cost_function/normalised_cross_correlation;spatial_smoothing/fwhm/12;spatial_smoothing/tool;slice_timing_correction/ref_slice;first_level;signal_modeling/nuisance_regressors/comp_cor;spatial_smoothing/fwhm/8;spatial_normalization/bias_fwhm/70;pipeline;coregistration/source_target/anat_on_func;spatial_normalization/bias_fwhm/130;spatial_normalization/interpolation/nearest_neighbour;preprocessing;spatial_normalization/bias_regularisation/heavy;signal_modeling/tool;coregistration/source_target;coregistration/tool/spm;signal_modeling/nuisance_regressors/motion;signal_modeling/hrf;spatial_normalization/template/MNI152_linear;slice_timing_correction/tool/spm;spatial_normalization/bias_regularisation/medium;slice_timing_correction/ref_slice/first;spatial_normalization/bias_fwhm/100;signal_modeling;spatial_normalization/bias_fwhm/30;spatial_normalization/algorithm;spatial_smoothing/fwhm/2;signal_modeling/nuisance_regressors/motion/6;spatial_normalization/bias_fwhm;spatial_smoothing/fwhm;motion_correction_realignment;spatial_normalization/interpolation/trilinear;spatial_normalization/bias_fwhm/120;spatial_normalization/template/MNI305;spatial_normalization/interpolation/bspline;id;pearson_from_ref;spearman_from_ref;pearson_from_mean;spearman_from_mean
True;False;False;False;True;False;True;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;False;False;True;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;True;True;False;True;False;True;False;False;False;True;True;False;True;True;False;True;True;True;True;True;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;False;d73e0359ec51c3b847656b8f2bc157b083dae2057d53a4f43909202cad6551b7;0.1035166212347605;0.082454333548648;0.2546418469291293;0.23986981476935748
True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;True;True;False;True;True;False;False;True;False;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;False;False;False;False;False;True;True;False;False;False;False;True;False;True;True;True;False;True;True;True;False;False;False;True;True;False;False;True;False;True;True;True;False;True;False;True;False;True;False;True;False;True;False;False;False;True;True;True;False;False;False;e012bd4d9bab5a18593441c76f48ccc732bca3390703ffad76a4effde31136ac;0.1490469909984239;0.1247971146597408;0.32924867971990096;0.30009372365921066
True;False;False;True;True;False;True;False;True;True;True;True;False;False;True;True;True;False;True;True;True;False;False;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;True;False;False;False;True;True;True;False;True;False;False;True;False;True;True;False;False;True;True;True;False;False;False;True;False;False;False;True;False;True;True;True;True;True;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;False;850e4d92a370900eede8982155772f1ba014ab468eef7c55976bcc207dd19ff3;0.9560028300225836;0.8822905643216669;0.8561483134148876;0.6992207352412708
True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;True;True;False;True;True;True;False;False;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;True;False;True;False;True;True;True;False;False;False;False;True;False;True;True;False;False;True;True;True;False;False;False;True;False;False;False;True;False;True;True;True;True;True;False;True;False;True;False;True;False;True;False;False;False;True;True;True;False;False;False;84c27a9d96a41f520b1de0bf3ef88093bcf9761b45e45efa195b0f16e989e3b8;0.724837689049994;0.5886500133296996;0.7581656172239851;0.5813561670753027
True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;False;False;True;True;True;True;False;False;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;True;True;True;False;True;True;True;False;False;False;True;False;False;False;True;False;True;True;True;False;True;False;True;False;True;False;True;False;True;False;False;False;True;True;True;False;False;False;0c7beba1bec8f4ff1c5ebff7e2af248230c4ce91c277751ff035fe2b84549194;0.0957684644559846;0.0742146241590697;0.2725509161687964;0.2521178648184117
True;False;False;True;True;False;False;False;True;True;True;True;True;False;True;True;True;True;True;True;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;False;False;True;False;True;False;False;False;True;False;True;True;True;False;False;False;False;True;False;True;True;False;False;True;True;True;False;False;False;True;True;False;False;True;False;True;True;True;True;True;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;bd680f4a5114da7b91609bc9ea47b7323842816ba6343500c37d9e15d8cb6f6a;0.9778464432341456;0.909256308681504;0.848477817632668;0.6910029611652464
True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;True;True;False;True;True;False;False;True;False;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;False;False;True;False;True;True;False;False;True;True;True;False;False;False;True;True;False;False;True;False;True;True;True;False;True;False;True;False;True;False;True;False;True;False;False;False;True;True;True;False;False;False;5e45d48fd8f51054004b526f637b058b012d8347df6b379b7c290f2f1510c2a1;0.6131495911248562;0.5026187809613162;0.7994168662426107;0.6489492993827204
True;False;False;False;True;False;False;False;True;True;True;True;True;False;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;False;False;True;True;True;True;False;False;True;False;True;False;False;False;True;False;False;True;True;False;False;False;True;True;False;True;True;False;False;True;True;True;False;False;False;True;True;False;True;True;False;True;True;True;False;True;False;True;False;True;False;True;False;True;False;False;False;True;True;False;False;False;False;edff2ab1ef5565f4e9b1eea8c7247419318afe52c40700982fa2a001dd1ac68e;0.6415224865515101;0.5311167575471293;0.7652942711486538;0.6266614473340105
True;False;False;False;True;False;True;False;True;True;True;True;False;False;True;True;True;False;True;True;False;False;False;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;True;False;False;False;False;True;True;False;True;False;True;True;False;True;True;False;False;True;True;True;False;False;False;True;False;False;True;True;False;True;True;True;True;True;False;True;False;True;False;True;False;True;False;True;False;True;True;False;False;False;False;97d89fdb17f75389f69bd5c29cf0c8feef728316f41323de04ddfffdbbe8b904;0.7464816229484633;0.620118017875035;0.8008737004238421;0.6337841698460897
True;False;False;False;True;False;False;False;True;True;False;True;True;False;True;True;True;True;True;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;False;False;True;False;True;False;True;False;False;False;False;True;False;False;True;False;True;True;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;True;False;True;True;True;True;True;False;False;False;False;False;True;False;True;False;True;False;True;True;False;False;False;True;09fbdd872a931ffaeb2422e212856182fa02f1b84a666edfe1e21a6d24c00371;0.7439681099479867;0.6331905593074989;0.8294234118202761;0.6819803671490278
